Game Name,System Full,Units(m),Publisher,Developer,Image_URL,Release Date
Uchuu Senkan Gomora,Sega Genesis,0.0,UPL,Aisystem Tokyo,https://www.vgchartz.com/games/boxart/full_8320922JapanFrontccc.jpg,30/09/1991
Street Fighter 2 Special Champion Edition,Sega Genesis,0.0,Unknown,Capcom,https://www.vgchartz.com/games/boxart/default.jpg,
Head-On Soccer,Sega Genesis,0.0,U.S. Gold,U.S. Gold,https://www.vgchartz.com/games/boxart/full_7883731AmericaFrontccc.jpg,01/01/1995
Streets of Rage,Sega Genesis,2.6,Sega,Sega,https://www.vgchartz.com/games/boxart/6732328ccc.jpg,31/12/1990
Double Dribble: The Playoff Edition,Sega Genesis,0.0,Konami,Konami,https://www.vgchartz.com/games/boxart/8144553ccc.gif,01/01/1994
FIFA Soccer 95,Sega Genesis,0.0,EA Sports,Extended Play Productions,https://www.vgchartz.com/games/boxart/full_1780923AmericaFrontccc.jpg,01/01/1994
Puggsy,Sega Genesis,0.0,Psygnosis,Traveller's Tales,https://www.vgchartz.com/games/boxart/full_puggsy_280AmericaFront.jpg,01/01/1993
OutRun,Sega Genesis,0.0,Sega,Sanritsu,https://www.vgchartz.com/games/boxart/590415ccc.jpg,01/01/1991
RoboCop 3,Sega Genesis,0.0,Flying Edge,Eden Entertainment Software,https://www.vgchartz.com/games/boxart/full_455459AmericaFrontccc.jpg,01/01/1993
Streets of Rage 2,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/full_2980317AmericaFrontccc.jpg,20/12/1992
Aa Harimadana,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/full_9535446JapanFrontccc.jpg,03/09/1993
Splatterhouse 3,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/full_splatterhouse-3_6AmericaFront.jpg,18/03/1993
Bahamut Senki,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/full_8427100JapanFrontccc.jpg,08/03/1991
Sword of Vermilion,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/7891040ccc.jpg,15/12/1989
Brett Hull Hockey,Sega Genesis,0.0,Unknown,Radical Entertainment,https://www.vgchartz.com/games/boxart/7368778ccc.jpg,31/12/2020
Bill Walsh College Football,Sega Genesis,0.0,Electronic Arts,High Score Productions,https://www.vgchartz.com/games/boxart/7667492ccc.jpg,01/01/1993
College Slam,Sega Genesis,0.0,Acclaim Entertainment,Iguana Entertainment,https://www.vgchartz.com/games/boxart/2542644ccc.jpg,01/01/1996
Jordan vs Bird,Sega Genesis,0.0,Electronic Arts,Electronic Arts,https://www.vgchartz.com/games/boxart/full_1981125AmericaFrontccc.jpg,01/01/1992
Fatal Fury,Sega Genesis,0.0,Takara,SNK Corporation,https://www.vgchartz.com/games/boxart/full_fatal-fury_6AmericaFront.jpg,01/01/1993
Shanghai II: Dragon's Eye,Sega Genesis,0.0,Activision,Activision,https://www.vgchartz.com/games/boxart/4662807ccc.jpg,01/01/1994
Rent A Hero,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/full_6946266JapanFrontccc.jpg,20/09/1991
PGA Tour Golf,Sega Genesis,0.0,Electronic Arts,Sterling Silver Software,https://www.vgchartz.com/games/boxart/5067974ccc.jpg,01/01/1991
Kyuukai Douchuuki,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/full_4252034JapanFrontccc.jpg,12/07/1991
International Superstar Soccer Deluxe,Sega Genesis,0.0,Konami,Factor 5,https://www.vgchartz.com/games/boxart/full_international-superstar-soccer-deluxe_1PALFront.jpg,01/01/1996
Genghis Khan II: Clan of the Gray Wolf,Sega Genesis,0.0,KOEI,Koei,https://www.vgchartz.com/games/boxart/full_3273085AmericaFrontccc.jpg,23/09/1993
Strider,Sega Genesis,0.0,Sega,Capcom,https://www.vgchartz.com/games/boxart/full_7700343AmericaFrontccc.jpg,01/01/1990
Trouble Shooter,Sega Genesis,0.0,Victory Lap Games,Vic Tokai,https://www.vgchartz.com/games/boxart/full_trouble-shooter_248AmericaFront.jpg,01/01/1991
